[2020/09/15 14:42:14] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_ffx_4_0', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'FFX', 'block_size': 4, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_ffx_4_0/', 'seed': 0}
[2020/09/15 14:42:16] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/09/15 14:52:43] - 60 	 10.4 	 	 0.1200 	 0.4286 	 0.8518
[2020/09/15 14:52:54] - 61 	 10.4 	 	 0.1220 	 0.4325 	 0.8485
[2020/09/15 14:53:04] - 62 	 10.4 	 	 0.1240 	 0.4318 	 0.8501
[2020/09/15 14:53:15] - 63 	 10.4 	 	 0.1260 	 0.4333 	 0.8501
[2020/09/15 14:53:25] - 64 	 10.4 	 	 0.1280 	 0.4324 	 0.8502
[2020/09/15 14:53:35] - 65 	 10.4 	 	 0.1300 	 0.4300 	 0.8518
[2020/09/15 14:53:46] - 66 	 10.4 	 	 0.1320 	 0.4370 	 0.8501
[2020/09/15 14:53:56] - 67 	 10.4 	 	 0.1340 	 0.4436 	 0.8450
[2020/09/15 14:54:07] - 68 	 10.4 	 	 0.1360 	 0.4371 	 0.8482
[2020/09/15 14:54:17] - 69 	 10.4 	 	 0.1380 	 0.4406 	 0.8487
[2020/09/15 14:54:28] - 70 	 10.4 	 	 0.1400 	 0.4410 	 0.8465
[2020/09/15 14:54:38] - 71 	 10.4 	 	 0.1420 	 0.4377 	 0.8500
[2020/09/15 14:54:48] - 72 	 10.4 	 	 0.1440 	 0.4401 	 0.8473
[2020/09/15 14:54:59] - 73 	 10.4 	 	 0.1460 	 0.4422 	 0.8481
[2020/09/15 14:55:09] - 74 	 10.4 	 	 0.1480 	 0.4485 	 0.8453
[2020/09/15 14:55:20] - 75 	 10.4 	 	 0.1500 	 0.4521 	 0.8431
[2020/09/15 14:55:30] - 76 	 10.4 	 	 0.1520 	 0.4483 	 0.8455
[2020/09/15 14:55:40] - 77 	 10.4 	 	 0.1540 	 0.4485 	 0.8460
[2020/09/15 14:55:51] - 78 	 10.4 	 	 0.1560 	 0.4510 	 0.8448
[2020/09/15 14:56:01] - 79 	 10.4 	 	 0.1580 	 0.4501 	 0.8461
[2020/09/15 14:56:12] - 80 	 10.4 	 	 0.1600 	 0.4491 	 0.8442
[2020/09/15 14:56:22] - 81 	 10.4 	 	 0.1620 	 0.4511 	 0.8437
[2020/09/15 14:56:33] - 82 	 10.4 	 	 0.1640 	 0.4560 	 0.8435
[2020/09/15 14:56:43] - 83 	 10.4 	 	 0.1660 	 0.4522 	 0.8442
[2020/09/15 14:56:53] - 84 	 10.4 	 	 0.1680 	 0.4576 	 0.8402
[2020/09/15 14:57:04] - 85 	 10.4 	 	 0.1700 	 0.4548 	 0.8435
[2020/09/15 14:57:14] - 86 	 10.4 	 	 0.1720 	 0.4620 	 0.8414
[2020/09/15 14:57:25] - 87 	 10.4 	 	 0.1740 	 0.4605 	 0.8413
[2020/09/15 14:57:35] - 88 	 10.4 	 	 0.1760 	 0.4577 	 0.8409
[2020/09/15 14:57:45] - 89 	 10.4 	 	 0.1780 	 0.4619 	 0.8412
[2020/09/15 14:57:56] - 90 	 10.4 	 	 0.1800 	 0.4641 	 0.8408
[2020/09/15 14:58:06] - 91 	 10.4 	 	 0.1820 	 0.4622 	 0.8401
[2020/09/15 14:58:17] - 92 	 10.4 	 	 0.1840 	 0.4601 	 0.8410
[2020/09/15 14:58:27] - 93 	 10.4 	 	 0.1860 	 0.4650 	 0.8387
