[2020/09/02 16:36:59] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_np_4', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'NP', 'block_size': 4, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_np_4', 'seed': 42}
[2020/09/02 16:37:03] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/09/02 16:37:14] - 1 	 11.3 	 	 0.0020 	 1.8134 	 0.3359
[2020/09/02 16:37:15] - == Test loss: 1.5197, Test acc: 0.4482
[2020/09/02 16:37:31] - 2 	 11.0 	 	 0.0040 	 1.3349 	 0.5156
[2020/09/02 16:37:42] - 3 	 11.0 	 	 0.0060 	 1.0930 	 0.6076
[2020/09/02 16:37:53] - 4 	 11.1 	 	 0.0080 	 0.9204 	 0.6739
[2020/09/02 16:38:04] - 5 	 11.1 	 	 0.0100 	 0.7944 	 0.7215
[2020/09/02 16:38:15] - 6 	 11.1 	 	 0.0120 	 0.7176 	 0.7474
[2020/09/02 16:38:27] - 7 	 11.2 	 	 0.0140 	 0.6616 	 0.7678
[2020/09/02 16:38:38] - 8 	 11.1 	 	 0.0160 	 0.6056 	 0.7896
[2020/09/02 16:38:49] - 9 	 11.1 	 	 0.0180 	 0.5747 	 0.7993
[2020/09/02 16:39:00] - 10 	 11.1 	 	 0.0200 	 0.5376 	 0.8133
[2020/09/02 16:39:11] - 11 	 11.1 	 	 0.0220 	 0.5154 	 0.8194
[2020/09/02 16:39:22] - 12 	 11.1 	 	 0.0240 	 0.4893 	 0.8304
[2020/09/02 16:39:33] - 13 	 11.2 	 	 0.0260 	 0.4700 	 0.8372
[2020/09/02 16:39:44] - 14 	 11.1 	 	 0.0280 	 0.4447 	 0.8450
[2020/09/02 16:39:56] - 15 	 11.1 	 	 0.0300 	 0.4243 	 0.8521
[2020/09/02 16:40:07] - 16 	 11.1 	 	 0.0320 	 0.4178 	 0.8549
[2020/09/02 16:40:18] - 17 	 11.2 	 	 0.0340 	 0.4030 	 0.8603
[2020/09/02 16:40:29] - 18 	 11.1 	 	 0.0360 	 0.3938 	 0.8623
[2020/09/02 16:40:40] - 19 	 11.1 	 	 0.0380 	 0.3757 	 0.8691
[2020/09/02 16:40:51] - 20 	 11.2 	 	 0.0400 	 0.3676 	 0.8715
[2020/09/02 16:41:02] - 21 	 11.2 	 	 0.0420 	 0.3542 	 0.8748
[2020/09/02 16:41:14] - 22 	 11.2 	 	 0.0440 	 0.3507 	 0.8768
