[2020/08/28 10:22:25] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'Shuffle', 'block_size': 4, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18/', 'seed': 42}
[2020/08/28 10:22:28] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/08/28 10:32:42] - 60 	 10.2 	 	 0.1200 	 0.2725 	 0.9072
[2020/08/28 10:32:52] - 61 	 10.2 	 	 0.1220 	 0.2727 	 0.9058
[2020/08/28 10:33:02] - 62 	 10.2 	 	 0.1240 	 0.2735 	 0.9078
[2020/08/28 10:33:13] - 63 	 10.2 	 	 0.1260 	 0.2731 	 0.9075
[2020/08/28 10:33:23] - 64 	 10.2 	 	 0.1280 	 0.2746 	 0.9062
[2020/08/28 10:33:33] - 65 	 10.3 	 	 0.1300 	 0.2780 	 0.9053
[2020/08/28 10:33:43] - 66 	 10.2 	 	 0.1320 	 0.2762 	 0.9064
[2020/08/28 10:33:54] - 67 	 10.2 	 	 0.1340 	 0.2804 	 0.9033
[2020/08/28 10:34:04] - 68 	 10.2 	 	 0.1360 	 0.2811 	 0.9046
[2020/08/28 10:34:14] - 69 	 10.2 	 	 0.1380 	 0.2786 	 0.9054
[2020/08/28 10:34:24] - 70 	 10.2 	 	 0.1400 	 0.2842 	 0.9026
[2020/08/28 10:34:34] - 71 	 10.2 	 	 0.1420 	 0.2865 	 0.9027
[2020/08/28 10:34:45] - 72 	 10.2 	 	 0.1440 	 0.2839 	 0.9024
[2020/08/28 10:34:55] - 73 	 10.2 	 	 0.1460 	 0.2827 	 0.9048
[2020/08/28 10:35:05] - 74 	 10.2 	 	 0.1480 	 0.2850 	 0.9024
[2020/08/28 10:35:15] - 75 	 10.2 	 	 0.1500 	 0.2910 	 0.9012
[2020/08/28 10:35:25] - 76 	 10.2 	 	 0.1520 	 0.2849 	 0.9035
[2020/08/28 10:35:36] - 77 	 10.2 	 	 0.1540 	 0.2908 	 0.9003
[2020/08/28 10:35:46] - 78 	 10.2 	 	 0.1560 	 0.2895 	 0.9015
[2020/08/28 10:35:56] - 79 	 10.2 	 	 0.1580 	 0.2895 	 0.9021
[2020/08/28 10:36:06] - 80 	 10.2 	 	 0.1600 	 0.2948 	 0.8994
[2020/08/28 10:36:16] - 81 	 10.2 	 	 0.1620 	 0.2922 	 0.8995
[2020/08/28 10:36:27] - 82 	 10.2 	 	 0.1640 	 0.2987 	 0.8994
[2020/08/28 10:36:37] - 83 	 10.2 	 	 0.1660 	 0.2979 	 0.8981
[2020/08/28 10:36:47] - 84 	 10.2 	 	 0.1680 	 0.2941 	 0.9008
[2020/08/28 10:36:57] - 85 	 10.2 	 	 0.1700 	 0.2979 	 0.8993
[2020/08/28 10:37:07] - 86 	 10.2 	 	 0.1720 	 0.2962 	 0.8989
[2020/08/28 10:37:18] - 87 	 10.2 	 	 0.1740 	 0.2956 	 0.9004
[2020/08/28 10:37:28] - 88 	 10.2 	 	 0.1760 	 0.2959 	 0.8988
[2020/08/28 10:37:38] - 89 	 10.2 	 	 0.1780 	 0.3030 	 0.8975
[2020/08/28 10:37:48] - 90 	 10.2 	 	 0.1800 	 0.3012 	 0.8977
[2020/08/28 10:37:58] - 91 	 10.2 	 	 0.1820 	 0.3058 	 0.8960
[2020/08/28 10:38:09] - 92 	 10.2 	 	 0.1840 	 0.3030 	 0.8967
[2020/08/28 10:38:19] - 93 	 10.2 	 	 0.1860 	 0.3027 	 0.8961
[2020/08/28 10:38:29] - 94 	 10.2 	 	 0.1880 	 0.3065 	 0.8958
[2020/08/28 10:38:39] - 95 	 10.2 	 	 0.1900 	 0.2999 	 0.8984
[2020/08/28 10:38:49] - 96 	 10.2 	 	 0.1920 	 0.2986 	 0.8980
[2020/08/28 10:39:00] - 97 	 10.2 	 	 0.1940 	 0.3090 	 0.8935
[2020/08/28 10:39:10] - 98 	 10.2 	 	 0.1960 	 0.3064 	 0.8963
[2020/08/28 10:39:20] - 99 	 10.2 	 	 0.1980 	 0.3088 	 0.8941
[2020/08/28 10:39:30] - 100 	 10.2 	 	 0.2000 	 0.3077 	 0.8960
[2020/08/28 10:39:31] - == Test loss: 0.4224, Test acc: 0.8680
[2020/08/28 10:39:43] - 101 	 10.2 	 	 0.1980 	 0.3045 	 0.8969
[2020/08/28 10:39:53] - 102 	 10.2 	 	 0.1960 	 0.3090 	 0.8942
[2020/08/28 10:40:03] - 103 	 10.2 	 	 0.1940 	 0.3041 	 0.8981
[2020/08/28 10:40:13] - 104 	 10.2 	 	 0.1920 	 0.3077 	 0.8961
[2020/08/28 10:40:23] - 105 	 10.2 	 	 0.1900 	 0.3030 	 0.8984
[2020/08/28 10:40:34] - 106 	 10.2 	 	 0.1880 	 0.2994 	 0.8982
[2020/08/28 10:40:44] - 107 	 10.2 	 	 0.1860 	 0.3053 	 0.8973
[2020/08/28 10:40:54] - 108 	 10.2 	 	 0.1840 	 0.3017 	 0.8990
