[2020/08/29 15:34:50] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_ffx_2', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'FFX', 'block_size': 2, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_ffx_2', 'seed': 42}
[2020/08/29 15:34:53] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/08/29 15:46:05] - 60 	 11.1 	 	 0.1200 	 0.3757 	 0.8714
[2020/08/29 15:46:16] - 61 	 11.1 	 	 0.1220 	 0.3686 	 0.8743
[2020/08/29 15:46:27] - 62 	 11.2 	 	 0.1240 	 0.3624 	 0.8755
[2020/08/29 15:46:38] - 63 	 11.1 	 	 0.1260 	 0.3741 	 0.8709
[2020/08/29 15:46:49] - 64 	 11.2 	 	 0.1280 	 0.3734 	 0.8711
[2020/08/29 15:47:01] - 65 	 11.2 	 	 0.1300 	 0.3775 	 0.8710
[2020/08/29 15:47:12] - 66 	 11.1 	 	 0.1320 	 0.3786 	 0.8710
[2020/08/29 15:47:23] - 67 	 11.2 	 	 0.1340 	 0.3761 	 0.8723
[2020/08/29 15:47:34] - 68 	 11.2 	 	 0.1360 	 0.3779 	 0.8699
[2020/08/29 15:47:45] - 69 	 11.1 	 	 0.1380 	 0.3862 	 0.8693
[2020/08/29 15:47:56] - 70 	 11.1 	 	 0.1400 	 0.3810 	 0.8707
[2020/08/29 15:48:07] - 71 	 11.2 	 	 0.1420 	 0.3807 	 0.8699
[2020/08/29 15:48:19] - 72 	 11.1 	 	 0.1440 	 0.3827 	 0.8681
[2020/08/29 15:48:30] - 73 	 11.2 	 	 0.1460 	 0.3820 	 0.8677
[2020/08/29 15:48:41] - 74 	 11.1 	 	 0.1480 	 0.3906 	 0.8645
[2020/08/29 15:48:52] - 75 	 11.2 	 	 0.1500 	 0.3936 	 0.8646
[2020/08/29 15:49:03] - 76 	 11.2 	 	 0.1520 	 0.3907 	 0.8659
[2020/08/29 15:49:14] - 77 	 11.1 	 	 0.1540 	 0.3932 	 0.8650
[2020/08/29 15:49:25] - 78 	 11.2 	 	 0.1560 	 0.3834 	 0.8676
[2020/08/29 15:49:37] - 79 	 11.1 	 	 0.1580 	 0.3988 	 0.8623
[2020/08/29 15:49:48] - 80 	 11.1 	 	 0.1600 	 0.3916 	 0.8669
[2020/08/29 15:49:59] - 81 	 11.2 	 	 0.1620 	 0.3938 	 0.8670
[2020/08/29 15:50:10] - 82 	 11.2 	 	 0.1640 	 0.3958 	 0.8649
[2020/08/29 15:50:21] - 83 	 11.1 	 	 0.1660 	 0.3943 	 0.8652
[2020/08/29 15:50:32] - 84 	 11.2 	 	 0.1680 	 0.4020 	 0.8614
[2020/08/29 15:50:43] - 85 	 11.2 	 	 0.1700 	 0.4014 	 0.8620
[2020/08/29 15:50:55] - 86 	 11.1 	 	 0.1720 	 0.4040 	 0.8631
[2020/08/29 15:51:06] - 87 	 11.2 	 	 0.1740 	 0.3966 	 0.8627
[2020/08/29 15:51:17] - 88 	 11.1 	 	 0.1760 	 0.4015 	 0.8625
[2020/08/29 15:51:28] - 89 	 11.1 	 	 0.1780 	 0.4039 	 0.8619
[2020/08/29 15:51:39] - 90 	 11.2 	 	 0.1800 	 0.4025 	 0.8635
[2020/08/29 15:51:50] - 91 	 11.1 	 	 0.1820 	 0.4101 	 0.8591
[2020/08/29 15:52:01] - 92 	 11.2 	 	 0.1840 	 0.4029 	 0.8621
[2020/08/29 15:52:13] - 93 	 11.2 	 	 0.1860 	 0.4068 	 0.8615
[2020/08/29 15:52:24] - 94 	 11.1 	 	 0.1880 	 0.4095 	 0.8584
[2020/08/29 15:52:35] - 95 	 11.2 	 	 0.1900 	 0.4076 	 0.8616
[2020/08/29 15:52:46] - 96 	 11.1 	 	 0.1920 	 0.4144 	 0.8595
[2020/08/29 15:52:57] - 97 	 11.2 	 	 0.1940 	 0.4133 	 0.8594
[2020/08/29 15:53:08] - 98 	 11.2 	 	 0.1960 	 0.4177 	 0.8577
[2020/08/29 15:53:19] - 99 	 11.1 	 	 0.1980 	 0.4226 	 0.8549
[2020/08/29 15:53:31] - 100 	 11.1 	 	 0.2000 	 0.4119 	 0.8591
[2020/08/29 15:53:32] - == Test loss: 0.6827, Test acc: 0.7764
[2020/08/29 15:53:44] - 101 	 11.2 	 	 0.1980 	 0.4154 	 0.8571
[2020/08/29 15:53:55] - 102 	 11.1 	 	 0.1960 	 0.4108 	 0.8598
[2020/08/29 15:54:07] - 103 	 11.1 	 	 0.1940 	 0.4110 	 0.8594
[2020/08/29 15:54:18] - 104 	 11.1 	 	 0.1920 	 0.4088 	 0.8591
[2020/08/29 15:54:29] - 105 	 11.2 	 	 0.1900 	 0.4048 	 0.8627
[2020/08/29 15:54:40] - 106 	 11.1 	 	 0.1880 	 0.4075 	 0.8592
[2020/08/29 15:54:51] - 107 	 11.1 	 	 0.1860 	 0.4031 	 0.8594
[2020/08/29 15:55:02] - 108 	 11.1 	 	 0.1840 	 0.4031 	 0.8619
[2020/08/29 15:55:13] - 109 	 11.1 	 	 0.1820 	 0.4006 	 0.8624
[2020/08/29 15:55:25] - 110 	 11.1 	 	 0.1800 	 0.4022 	 0.8625
[2020/08/29 15:55:36] - 111 	 11.1 	 	 0.1780 	 0.3979 	 0.8646
[2020/08/29 15:55:47] - 112 	 11.2 	 	 0.1760 	 0.3991 	 0.8619
[2020/08/29 15:55:58] - 113 	 11.1 	 	 0.1740 	 0.3957 	 0.8644
[2020/08/29 15:56:09] - 114 	 11.2 	 	 0.1720 	 0.3962 	 0.8638
[2020/08/29 15:56:20] - 115 	 11.1 	 	 0.1700 	 0.3996 	 0.8644
[2020/08/29 15:56:31] - 116 	 11.2 	 	 0.1680 	 0.3901 	 0.8667
[2020/08/29 15:56:43] - 117 	 11.2 	 	 0.1660 	 0.3869 	 0.8683
[2020/08/29 15:56:54] - 118 	 11.1 	 	 0.1640 	 0.3827 	 0.8695
[2020/08/29 15:57:05] - 119 	 11.2 	 	 0.1620 	 0.3843 	 0.8687
[2020/08/29 15:57:16] - 120 	 11.1 	 	 0.1600 	 0.3839 	 0.8686
[2020/08/29 15:57:27] - 121 	 11.1 	 	 0.1580 	 0.3868 	 0.8677
[2020/08/29 15:57:38] - 122 	 11.1 	 	 0.1560 	 0.3753 	 0.8712
[2020/08/29 15:57:49] - 123 	 11.2 	 	 0.1540 	 0.3833 	 0.8674
[2020/08/29 15:58:01] - 124 	 11.1 	 	 0.1520 	 0.3789 	 0.8705
