[2020/08/29 16:13:58] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_ffx_4', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'FFX', 'block_size': 4, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_ffx_4/', 'seed': 42}
[2020/08/29 16:14:01] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/08/29 16:14:13] - 1 	 11.3 	 	 0.0020 	 2.1232 	 0.2095
[2020/08/29 16:14:14] - == Test loss: 1.7673, Test acc: 0.3533
[2020/08/29 16:14:26] - 2 	 11.1 	 	 0.0040 	 1.6739 	 0.3846
[2020/08/29 16:14:38] - 3 	 11.1 	 	 0.0060 	 1.4610 	 0.4716
[2020/08/29 16:14:49] - 4 	 11.2 	 	 0.0080 	 1.3075 	 0.5303
[2020/08/29 16:15:00] - 5 	 11.1 	 	 0.0100 	 1.1808 	 0.5759
[2020/08/29 16:15:11] - 6 	 11.2 	 	 0.0120 	 1.0729 	 0.6190
[2020/08/29 16:15:22] - 7 	 11.2 	 	 0.0140 	 0.9909 	 0.6496
[2020/08/29 16:15:33] - 8 	 11.1 	 	 0.0160 	 0.9142 	 0.6753
[2020/08/29 16:15:44] - 9 	 11.1 	 	 0.0180 	 0.8576 	 0.6982
[2020/08/29 16:15:56] - 10 	 11.2 	 	 0.0200 	 0.8070 	 0.7172
[2020/08/29 16:16:07] - 11 	 11.1 	 	 0.0220 	 0.7728 	 0.7286
[2020/08/29 16:16:18] - 12 	 11.2 	 	 0.0240 	 0.7307 	 0.7447
[2020/08/29 16:16:29] - 13 	 11.2 	 	 0.0260 	 0.7065 	 0.7542
[2020/08/29 16:16:40] - 14 	 11.1 	 	 0.0280 	 0.6758 	 0.7615
[2020/08/29 16:16:51] - 15 	 11.2 	 	 0.0300 	 0.6383 	 0.7760
[2020/08/29 16:17:03] - 16 	 11.1 	 	 0.0320 	 0.6238 	 0.7830
[2020/08/29 16:17:14] - 17 	 11.2 	 	 0.0340 	 0.6046 	 0.7881
[2020/08/29 16:17:25] - 18 	 11.2 	 	 0.0360 	 0.5814 	 0.7952
[2020/08/29 16:17:36] - 19 	 11.1 	 	 0.0380 	 0.5599 	 0.8045
