[2020/09/15 14:30:52] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_shuffle_4_0', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'Shuffle', 'block_size': 4, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_shuffle_4_0/', 'seed': 0}
[2020/09/15 14:30:55] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/09/15 14:41:54] - 59 	 10.9 	 	 0.1180 	 0.3919 	 0.8640
[2020/09/15 14:42:05] - 60 	 11.0 	 	 0.1200 	 0.3944 	 0.8635
[2020/09/15 14:42:16] - 61 	 11.0 	 	 0.1220 	 0.3904 	 0.8643
[2020/09/15 14:42:27] - 62 	 10.9 	 	 0.1240 	 0.3976 	 0.8625
[2020/09/15 14:42:38] - 63 	 11.0 	 	 0.1260 	 0.3955 	 0.8652
[2020/09/15 14:42:49] - 64 	 11.0 	 	 0.1280 	 0.3955 	 0.8646
[2020/09/15 14:43:00] - 65 	 10.9 	 	 0.1300 	 0.3996 	 0.8639
[2020/09/15 14:43:11] - 66 	 11.0 	 	 0.1320 	 0.3955 	 0.8642
[2020/09/15 14:43:21] - 67 	 11.0 	 	 0.1340 	 0.4023 	 0.8626
[2020/09/15 14:43:32] - 68 	 10.9 	 	 0.1360 	 0.3981 	 0.8643
[2020/09/15 14:43:43] - 69 	 11.0 	 	 0.1380 	 0.4003 	 0.8619
[2020/09/15 14:43:54] - 70 	 10.9 	 	 0.1400 	 0.3983 	 0.8628
[2020/09/15 14:44:05] - 71 	 11.0 	 	 0.1420 	 0.4028 	 0.8619
[2020/09/15 14:44:16] - 72 	 10.9 	 	 0.1440 	 0.4084 	 0.8586
[2020/09/15 14:44:27] - 73 	 10.9 	 	 0.1460 	 0.4053 	 0.8614
[2020/09/15 14:44:38] - 74 	 11.0 	 	 0.1480 	 0.4070 	 0.8601
[2020/09/15 14:44:49] - 75 	 10.9 	 	 0.1500 	 0.4114 	 0.8575
[2020/09/15 14:45:00] - 76 	 10.9 	 	 0.1520 	 0.4039 	 0.8618
[2020/09/15 14:45:11] - 77 	 10.9 	 	 0.1540 	 0.4087 	 0.8598
[2020/09/15 14:45:22] - 78 	 10.9 	 	 0.1560 	 0.4102 	 0.8608
[2020/09/15 14:45:33] - 79 	 10.9 	 	 0.1580 	 0.4161 	 0.8576
[2020/09/15 14:45:44] - 80 	 11.0 	 	 0.1600 	 0.4099 	 0.8586
[2020/09/15 14:45:55] - 81 	 11.0 	 	 0.1620 	 0.4177 	 0.8556
[2020/09/15 14:46:06] - 82 	 10.9 	 	 0.1640 	 0.4158 	 0.8560
[2020/09/15 14:46:17] - 83 	 11.0 	 	 0.1660 	 0.4183 	 0.8569
[2020/09/15 14:46:28] - 84 	 11.0 	 	 0.1680 	 0.4188 	 0.8575
[2020/09/15 14:46:39] - 85 	 10.9 	 	 0.1700 	 0.4187 	 0.8559
[2020/09/15 14:46:49] - 86 	 10.9 	 	 0.1720 	 0.4240 	 0.8535
[2020/09/15 14:47:00] - 87 	 10.9 	 	 0.1740 	 0.4179 	 0.8581
[2020/09/15 14:47:11] - 88 	 11.0 	 	 0.1760 	 0.4168 	 0.8575
[2020/09/15 14:47:22] - 89 	 10.9 	 	 0.1780 	 0.4226 	 0.8553
[2020/09/15 14:47:33] - 90 	 10.9 	 	 0.1800 	 0.4245 	 0.8530
[2020/09/15 14:47:44] - 91 	 10.9 	 	 0.1820 	 0.4263 	 0.8535
[2020/09/15 14:47:55] - 92 	 11.0 	 	 0.1840 	 0.4241 	 0.8548
[2020/09/15 14:48:06] - 93 	 10.9 	 	 0.1860 	 0.4279 	 0.8544
[2020/09/15 14:48:17] - 94 	 11.0 	 	 0.1880 	 0.4275 	 0.8531
[2020/09/15 14:48:28] - 95 	 11.0 	 	 0.1900 	 0.4258 	 0.8540
[2020/09/15 14:48:39] - 96 	 10.9 	 	 0.1920 	 0.4313 	 0.8525
[2020/09/15 14:48:50] - 97 	 10.9 	 	 0.1940 	 0.4298 	 0.8515
[2020/09/15 14:49:01] - 98 	 10.9 	 	 0.1960 	 0.4371 	 0.8505
[2020/09/15 14:49:12] - 99 	 10.9 	 	 0.1980 	 0.4268 	 0.8552
[2020/09/15 14:49:23] - 100 	 10.9 	 	 0.2000 	 0.4365 	 0.8516
[2020/09/15 14:49:24] - == Test loss: 0.5618, Test acc: 0.8119
[2020/09/15 14:49:46] - 101 	 10.9 	 	 0.1980 	 0.4288 	 0.8535
[2020/09/15 14:49:57] - 102 	 10.9 	 	 0.1960 	 0.4307 	 0.8514
[2020/09/15 14:50:08] - 103 	 10.9 	 	 0.1940 	 0.4270 	 0.8545
[2020/09/15 14:50:19] - 104 	 11.0 	 	 0.1920 	 0.4304 	 0.8525
[2020/09/15 14:50:30] - 105 	 11.0 	 	 0.1900 	 0.4320 	 0.8520
[2020/09/15 14:50:41] - 106 	 10.9 	 	 0.1880 	 0.4265 	 0.8528
[2020/09/15 14:50:52] - 107 	 11.0 	 	 0.1860 	 0.4260 	 0.8526
[2020/09/15 14:51:03] - 108 	 11.0 	 	 0.1840 	 0.4204 	 0.8560
[2020/09/15 14:51:14] - 109 	 10.9 	 	 0.1820 	 0.4171 	 0.8577
[2020/09/15 14:51:25] - 110 	 10.9 	 	 0.1800 	 0.4201 	 0.8564
[2020/09/15 14:51:36] - 111 	 10.9 	 	 0.1780 	 0.4191 	 0.8559
[2020/09/15 14:51:47] - 112 	 11.0 	 	 0.1760 	 0.4151 	 0.8577
[2020/09/15 14:51:58] - 113 	 11.1 	 	 0.1740 	 0.4177 	 0.8578
[2020/09/15 14:52:09] - 114 	 10.9 	 	 0.1720 	 0.4176 	 0.8574
[2020/09/15 14:52:20] - 115 	 11.0 	 	 0.1700 	 0.4089 	 0.8601
[2020/09/15 14:52:31] - 116 	 11.0 	 	 0.1680 	 0.4145 	 0.8562
[2020/09/15 14:52:42] - 117 	 10.9 	 	 0.1660 	 0.4075 	 0.8618
[2020/09/15 14:52:53] - 118 	 11.0 	 	 0.1640 	 0.4079 	 0.8609
[2020/09/15 14:53:04] - 119 	 11.0 	 	 0.1620 	 0.4064 	 0.8600
[2020/09/15 14:53:15] - 120 	 10.9 	 	 0.1600 	 0.4018 	 0.8616
[2020/09/15 14:53:26] - 121 	 10.9 	 	 0.1580 	 0.4033 	 0.8618
[2020/09/15 14:53:37] - 122 	 11.0 	 	 0.1560 	 0.4027 	 0.8618
[2020/09/15 14:53:48] - 123 	 10.9 	 	 0.1540 	 0.3993 	 0.8633
[2020/09/15 14:53:59] - 124 	 11.0 	 	 0.1520 	 0.3959 	 0.8629
