[2020/09/02 17:18:00] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_np_16', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'NP', 'block_size': 16, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_np_16', 'seed': 42}
[2020/09/02 17:18:04] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/09/02 17:18:15] - 1 	 11.5 	 	 0.0020 	 1.9273 	 0.2955
[2020/09/02 17:18:16] - == Test loss: 1.6135, Test acc: 0.4100
[2020/09/02 17:18:33] - 2 	 11.1 	 	 0.0040 	 1.5371 	 0.4358
[2020/09/02 17:18:44] - 3 	 11.3 	 	 0.0060 	 1.4195 	 0.4848
[2020/09/02 17:18:56] - 4 	 11.1 	 	 0.0080 	 1.3461 	 0.5121
[2020/09/02 17:19:07] - 5 	 11.1 	 	 0.0100 	 1.2778 	 0.5376
[2020/09/02 17:19:18] - 6 	 11.2 	 	 0.0120 	 1.2210 	 0.5594
[2020/09/02 17:19:29] - 7 	 11.2 	 	 0.0140 	 1.1731 	 0.5792
[2020/09/02 17:19:40] - 8 	 11.1 	 	 0.0160 	 1.1222 	 0.5989
[2020/09/02 17:19:51] - 9 	 11.1 	 	 0.0180 	 1.0677 	 0.6192
[2020/09/02 17:20:03] - 10 	 11.3 	 	 0.0200 	 1.0071 	 0.6411
[2020/09/02 17:20:14] - 11 	 11.1 	 	 0.0220 	 0.9615 	 0.6595
[2020/09/02 17:20:25] - 12 	 11.2 	 	 0.0240 	 0.8964 	 0.6833
[2020/09/02 17:20:36] - 13 	 11.1 	 	 0.0260 	 0.8403 	 0.7014
[2020/09/02 17:20:47] - 14 	 11.2 	 	 0.0280 	 0.7834 	 0.7224
[2020/09/02 17:20:59] - 15 	 11.2 	 	 0.0300 	 0.7367 	 0.7414
[2020/09/02 17:21:10] - 16 	 11.3 	 	 0.0320 	 0.6954 	 0.7550
[2020/09/02 17:21:21] - 17 	 11.1 	 	 0.0340 	 0.6563 	 0.7676
[2020/09/02 17:21:32] - 18 	 11.2 	 	 0.0360 	 0.6225 	 0.7808
[2020/09/02 17:21:43] - 19 	 11.1 	 	 0.0380 	 0.5930 	 0.7920
[2020/09/02 17:21:55] - 20 	 11.3 	 	 0.0400 	 0.5690 	 0.7991
[2020/09/02 17:22:06] - 21 	 11.1 	 	 0.0420 	 0.5515 	 0.8066
[2020/09/02 17:22:17] - 22 	 11.2 	 	 0.0440 	 0.5345 	 0.8131
[2020/09/02 17:22:28] - 23 	 11.1 	 	 0.0460 	 0.5180 	 0.8171
[2020/09/02 17:22:39] - 24 	 11.1 	 	 0.0480 	 0.4994 	 0.8245
[2020/09/02 17:22:50] - 25 	 11.2 	 	 0.0500 	 0.4917 	 0.8283
[2020/09/02 17:23:01] - 26 	 11.1 	 	 0.0520 	 0.4816 	 0.8304
[2020/09/02 17:23:13] - 27 	 11.1 	 	 0.0540 	 0.4685 	 0.8359
[2020/09/02 17:23:24] - 28 	 11.4 	 	 0.0560 	 0.4655 	 0.8373
[2020/09/02 17:23:35] - 29 	 11.1 	 	 0.0580 	 0.4530 	 0.8424
[2020/09/02 17:23:46] - 30 	 11.1 	 	 0.0600 	 0.4467 	 0.8438
[2020/09/02 17:23:58] - 31 	 11.2 	 	 0.0620 	 0.4477 	 0.8440
[2020/09/02 17:24:09] - 32 	 11.1 	 	 0.0640 	 0.4475 	 0.8429
[2020/09/02 17:24:20] - 33 	 11.1 	 	 0.0660 	 0.4363 	 0.8477
[2020/09/02 17:24:31] - 34 	 11.2 	 	 0.0680 	 0.4337 	 0.8483
[2020/09/02 17:24:42] - 35 	 11.1 	 	 0.0700 	 0.4269 	 0.8494
[2020/09/02 17:24:53] - 36 	 11.2 	 	 0.0720 	 0.4292 	 0.8498
[2020/09/02 17:25:05] - 37 	 11.4 	 	 0.0740 	 0.4292 	 0.8498
[2020/09/02 17:25:16] - 38 	 11.1 	 	 0.0760 	 0.4274 	 0.8510
[2020/09/02 17:25:27] - 39 	 11.1 	 	 0.0780 	 0.4216 	 0.8527
[2020/09/02 17:25:38] - 40 	 11.3 	 	 0.0800 	 0.4225 	 0.8515
[2020/09/02 17:25:49] - 41 	 11.1 	 	 0.0820 	 0.4215 	 0.8519
[2020/09/02 17:26:00] - 42 	 11.2 	 	 0.0840 	 0.4163 	 0.8560
[2020/09/02 17:26:12] - 43 	 11.2 	 	 0.0860 	 0.4173 	 0.8535
[2020/09/02 17:26:23] - 44 	 11.1 	 	 0.0880 	 0.4158 	 0.8546
[2020/09/02 17:26:34] - 45 	 11.1 	 	 0.0900 	 0.4174 	 0.8532
[2020/09/02 17:26:45] - 46 	 11.2 	 	 0.0920 	 0.4131 	 0.8562
[2020/09/02 17:26:56] - 47 	 11.1 	 	 0.0940 	 0.4159 	 0.8539
[2020/09/02 17:27:07] - 48 	 11.1 	 	 0.0960 	 0.4147 	 0.8563
[2020/09/02 17:27:18] - 49 	 11.1 	 	 0.0980 	 0.4212 	 0.8532
[2020/09/02 17:27:29] - 50 	 11.1 	 	 0.1000 	 0.4193 	 0.8529
[2020/09/02 17:27:41] - 51 	 11.1 	 	 0.1020 	 0.4165 	 0.8545
[2020/09/02 17:27:52] - 52 	 11.1 	 	 0.1040 	 0.4183 	 0.8520
[2020/09/02 17:28:03] - 53 	 11.3 	 	 0.1060 	 0.4160 	 0.8556
[2020/09/02 17:28:14] - 54 	 11.1 	 	 0.1080 	 0.4134 	 0.8567
[2020/09/02 17:28:25] - 55 	 11.1 	 	 0.1100 	 0.4155 	 0.8535
