[2020/09/02 16:31:41] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_np_2', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'NP', 'block_size': 2, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_np_2', 'seed': 42}
[2020/09/02 16:31:44] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/09/02 16:42:17] - 60 	 10.6 	 	 0.1200 	 0.2784 	 0.9048
[2020/09/02 16:42:28] - 61 	 10.4 	 	 0.1220 	 0.2771 	 0.9063
[2020/09/02 16:42:38] - 62 	 10.4 	 	 0.1240 	 0.2742 	 0.9071
[2020/09/02 16:42:48] - 63 	 10.4 	 	 0.1260 	 0.2811 	 0.9054
[2020/09/02 16:42:59] - 64 	 10.4 	 	 0.1280 	 0.2849 	 0.9028
[2020/09/02 16:43:09] - 65 	 10.6 	 	 0.1300 	 0.2815 	 0.9047
[2020/09/02 16:43:20] - 66 	 10.4 	 	 0.1320 	 0.2838 	 0.9023
[2020/09/02 16:43:30] - 67 	 10.4 	 	 0.1340 	 0.2831 	 0.9041
[2020/09/02 16:43:40] - 68 	 10.4 	 	 0.1360 	 0.2884 	 0.9031
[2020/09/02 16:43:51] - 69 	 10.4 	 	 0.1380 	 0.2868 	 0.9031
[2020/09/02 16:44:01] - 70 	 10.4 	 	 0.1400 	 0.2852 	 0.9035
[2020/09/02 16:44:12] - 71 	 10.4 	 	 0.1420 	 0.2888 	 0.9010
[2020/09/02 16:44:22] - 72 	 10.5 	 	 0.1440 	 0.2899 	 0.9016
[2020/09/02 16:44:33] - 73 	 10.4 	 	 0.1460 	 0.2879 	 0.9021
[2020/09/02 16:44:43] - 74 	 10.4 	 	 0.1480 	 0.2878 	 0.9026
