[2020/08/29 10:25:27] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_shuffle_16', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'Shuffle', 'block_size': 16, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_shuffle_16/', 'seed': 42}
[2020/08/29 10:25:30] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/08/29 10:25:41] - 1 	 11.0 	 	 0.0020 	 2.0035 	 0.2660
[2020/08/29 10:25:42] - == Test loss: 1.8208, Test acc: 0.3412
[2020/08/29 10:26:00] - 2 	 10.9 	 	 0.0040 	 1.6658 	 0.3918
[2020/08/29 10:26:11] - 3 	 10.9 	 	 0.0060 	 1.5693 	 0.4275
[2020/08/29 10:26:22] - 4 	 10.9 	 	 0.0080 	 1.5160 	 0.4504
[2020/08/29 10:26:33] - 5 	 10.8 	 	 0.0100 	 1.4622 	 0.4670
[2020/08/29 10:26:44] - 6 	 11.3 	 	 0.0120 	 1.4259 	 0.4843
[2020/08/29 10:26:55] - 7 	 11.2 	 	 0.0140 	 1.4026 	 0.4919
[2020/08/29 10:27:06] - 8 	 10.9 	 	 0.0160 	 1.3718 	 0.5058
[2020/08/29 10:27:17] - 9 	 11.1 	 	 0.0180 	 1.3370 	 0.5199
[2020/08/29 10:27:28] - 10 	 10.9 	 	 0.0200 	 1.3195 	 0.5220
[2020/08/29 10:27:39] - 11 	 10.9 	 	 0.0220 	 1.2968 	 0.5324
[2020/08/29 10:27:50] - 12 	 10.9 	 	 0.0240 	 1.2804 	 0.5418
[2020/08/29 10:28:01] - 13 	 10.9 	 	 0.0260 	 1.2526 	 0.5468
