[2020/09/02 17:12:35] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_np_8', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'NP', 'block_size': 8, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_np_8', 'seed': 42}
[2020/09/02 17:12:38] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/09/02 17:12:49] - 1 	 10.9 	 	 0.0020 	 1.8418 	 0.3252
[2020/09/02 17:12:49] - == Test loss: 1.5274, Test acc: 0.4262
[2020/09/02 17:13:05] - 2 	 10.3 	 	 0.0040 	 1.4404 	 0.4740
[2020/09/02 17:13:15] - 3 	 10.2 	 	 0.0060 	 1.2782 	 0.5373
[2020/09/02 17:13:26] - 4 	 10.4 	 	 0.0080 	 1.1513 	 0.5863
[2020/09/02 17:13:36] - 5 	 10.4 	 	 0.0100 	 1.0475 	 0.6261
[2020/09/02 17:13:46] - 6 	 10.4 	 	 0.0120 	 0.9719 	 0.6544
[2020/09/02 17:13:57] - 7 	 10.4 	 	 0.0140 	 0.9002 	 0.6819
[2020/09/02 17:14:07] - 8 	 10.3 	 	 0.0160 	 0.8454 	 0.7023
[2020/09/02 17:14:18] - 9 	 10.5 	 	 0.0180 	 0.7938 	 0.7225
[2020/09/02 17:14:28] - 10 	 10.5 	 	 0.0200 	 0.7587 	 0.7316
[2020/09/02 17:14:39] - 11 	 10.4 	 	 0.0220 	 0.7200 	 0.7465
[2020/09/02 17:14:49] - 12 	 10.4 	 	 0.0240 	 0.6929 	 0.7589
[2020/09/02 17:14:59] - 13 	 10.4 	 	 0.0260 	 0.6681 	 0.7653
[2020/09/02 17:15:10] - 14 	 10.4 	 	 0.0280 	 0.6426 	 0.7742
[2020/09/02 17:15:20] - 15 	 10.4 	 	 0.0300 	 0.6241 	 0.7809
[2020/09/02 17:15:31] - 16 	 10.5 	 	 0.0320 	 0.6086 	 0.7870
[2020/09/02 17:15:41] - 17 	 10.4 	 	 0.0340 	 0.5937 	 0.7925
[2020/09/02 17:15:52] - 18 	 10.5 	 	 0.0360 	 0.5716 	 0.7976
[2020/09/02 17:16:02] - 19 	 10.4 	 	 0.0380 	 0.5652 	 0.8013
[2020/09/02 17:16:12] - 20 	 10.4 	 	 0.0400 	 0.5544 	 0.8048
[2020/09/02 17:16:23] - 21 	 10.4 	 	 0.0420 	 0.5351 	 0.8114
[2020/09/02 17:16:33] - 22 	 10.5 	 	 0.0440 	 0.5326 	 0.8131
[2020/09/02 17:16:44] - 23 	 10.4 	 	 0.0460 	 0.5205 	 0.8171
[2020/09/02 17:16:54] - 24 	 10.5 	 	 0.0480 	 0.5131 	 0.8198
[2020/09/02 17:17:05] - 25 	 11.0 	 	 0.0500 	 0.5137 	 0.8183
[2020/09/02 17:17:16] - 26 	 10.5 	 	 0.0520 	 0.5077 	 0.8223
[2020/09/02 17:17:26] - 27 	 10.5 	 	 0.0540 	 0.5004 	 0.8253
[2020/09/02 17:17:37] - 28 	 10.4 	 	 0.0560 	 0.4987 	 0.8234
[2020/09/02 17:17:47] - 29 	 10.4 	 	 0.0580 	 0.5008 	 0.8249
[2020/09/02 17:17:57] - 30 	 10.5 	 	 0.0600 	 0.4936 	 0.8258
[2020/09/02 17:18:08] - 31 	 10.5 	 	 0.0620 	 0.4992 	 0.8244
[2020/09/02 17:18:18] - 32 	 10.4 	 	 0.0640 	 0.5002 	 0.8253
[2020/09/02 17:18:29] - 33 	 10.5 	 	 0.0660 	 0.4954 	 0.8267
[2020/09/02 17:18:39] - 34 	 10.4 	 	 0.0680 	 0.4979 	 0.8267
[2020/09/02 17:18:50] - 35 	 10.4 	 	 0.0700 	 0.4932 	 0.8283
