[2020/09/15 14:31:27] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_np_4_0', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'NP', 'block_size': 4, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_np_4_0/', 'seed': 0}
[2020/09/15 14:31:30] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/09/15 14:42:39] - 60 	 11.1 	 	 0.1200 	 0.3481 	 0.8810
[2020/09/15 14:42:51] - 61 	 11.1 	 	 0.1220 	 0.3515 	 0.8797
[2020/09/15 14:43:02] - 62 	 11.1 	 	 0.1240 	 0.3512 	 0.8787
[2020/09/15 14:43:13] - 63 	 11.1 	 	 0.1260 	 0.3483 	 0.8812
[2020/09/15 14:43:24] - 64 	 11.1 	 	 0.1280 	 0.3517 	 0.8802
[2020/09/15 14:43:35] - 65 	 11.1 	 	 0.1300 	 0.3486 	 0.8809
[2020/09/15 14:43:46] - 66 	 11.1 	 	 0.1320 	 0.3526 	 0.8780
[2020/09/15 14:43:57] - 67 	 11.1 	 	 0.1340 	 0.3555 	 0.8785
[2020/09/15 14:44:08] - 68 	 11.1 	 	 0.1360 	 0.3599 	 0.8775
[2020/09/15 14:44:19] - 69 	 11.1 	 	 0.1380 	 0.3539 	 0.8784
[2020/09/15 14:44:30] - 70 	 11.1 	 	 0.1400 	 0.3566 	 0.8773
[2020/09/15 14:44:42] - 71 	 11.1 	 	 0.1420 	 0.3613 	 0.8756
[2020/09/15 14:44:53] - 72 	 11.1 	 	 0.1440 	 0.3585 	 0.8770
[2020/09/15 14:45:04] - 73 	 11.1 	 	 0.1460 	 0.3586 	 0.8772
[2020/09/15 14:45:15] - 74 	 11.1 	 	 0.1480 	 0.3627 	 0.8752
[2020/09/15 14:45:26] - 75 	 11.1 	 	 0.1500 	 0.3657 	 0.8741
[2020/09/15 14:45:37] - 76 	 11.1 	 	 0.1520 	 0.3593 	 0.8768
[2020/09/15 14:45:48] - 77 	 11.1 	 	 0.1540 	 0.3663 	 0.8754
[2020/09/15 14:45:59] - 78 	 11.1 	 	 0.1560 	 0.3644 	 0.8737
[2020/09/15 14:46:10] - 79 	 11.1 	 	 0.1580 	 0.3670 	 0.8737
[2020/09/15 14:46:21] - 80 	 11.1 	 	 0.1600 	 0.3669 	 0.8745
[2020/09/15 14:46:33] - 81 	 11.1 	 	 0.1620 	 0.3633 	 0.8758
