[2020/08/28 16:56:11] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_shuffle_2', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'Shuffle', 'block_size': 2, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_shuffle_2/', 'seed': 42}
[2020/08/28 16:56:14] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/08/28 16:56:25] - 1 	 11.0 	 	 0.0020 	 1.7832 	 0.3427
[2020/08/28 16:56:26] - == Test loss: 1.4219, Test acc: 0.4824
[2020/08/28 16:56:39] - 2 	 10.9 	 	 0.0040 	 1.2246 	 0.5570
[2020/08/28 16:56:50] - 3 	 10.8 	 	 0.0060 	 0.9322 	 0.6678
[2020/08/28 16:57:01] - 4 	 10.8 	 	 0.0080 	 0.7656 	 0.7305
[2020/08/28 16:57:12] - 5 	 10.9 	 	 0.0100 	 0.6763 	 0.7631
[2020/08/28 16:57:22] - 6 	 10.9 	 	 0.0120 	 0.6020 	 0.7920
[2020/08/28 16:57:33] - 7 	 10.9 	 	 0.0140 	 0.5575 	 0.8082
[2020/08/28 16:57:44] - 8 	 10.9 	 	 0.0160 	 0.5154 	 0.8211
[2020/08/28 16:57:55] - 9 	 10.9 	 	 0.0180 	 0.4808 	 0.8350
[2020/08/28 16:58:06] - 10 	 10.9 	 	 0.0200 	 0.4524 	 0.8451
[2020/08/28 16:58:17] - 11 	 10.9 	 	 0.0220 	 0.4326 	 0.8504
[2020/08/28 16:58:28] - 12 	 10.9 	 	 0.0240 	 0.4084 	 0.8571
