[2020/08/28 17:37:19] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_shuffle_4', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'Shuffle', 'block_size': 4, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_shuffle_4/', 'seed': 42}
[2020/08/28 17:37:23] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/08/28 17:37:34] - 1 	 11.1 	 	 0.0020 	 1.8146 	 0.3321
[2020/08/28 17:37:35] - == Test loss: 1.5107, Test acc: 0.4568
[2020/08/28 17:37:47] - 2 	 11.0 	 	 0.0040 	 1.3023 	 0.5272
[2020/08/28 17:37:58] - 3 	 10.9 	 	 0.0060 	 1.0773 	 0.6157
[2020/08/28 17:38:09] - 4 	 10.9 	 	 0.0080 	 0.9312 	 0.6702
[2020/08/28 17:38:20] - 5 	 10.9 	 	 0.0100 	 0.8259 	 0.7112
[2020/08/28 17:38:31] - 6 	 10.9 	 	 0.0120 	 0.7570 	 0.7352
[2020/08/28 17:38:42] - 7 	 10.9 	 	 0.0140 	 0.6963 	 0.7580
[2020/08/28 17:38:53] - 8 	 10.9 	 	 0.0160 	 0.6542 	 0.7719
[2020/08/28 17:39:04] - 9 	 10.9 	 	 0.0180 	 0.6219 	 0.7835
[2020/08/28 17:39:15] - 10 	 10.9 	 	 0.0200 	 0.5814 	 0.7979
[2020/08/28 17:39:25] - 11 	 10.9 	 	 0.0220 	 0.5614 	 0.8053
[2020/08/28 17:39:36] - 12 	 10.9 	 	 0.0240 	 0.5335 	 0.8155
[2020/08/28 17:39:47] - 13 	 10.9 	 	 0.0260 	 0.5163 	 0.8201
[2020/08/28 17:39:58] - 14 	 10.9 	 	 0.0280 	 0.4940 	 0.8289
[2020/08/28 17:40:09] - 15 	 10.9 	 	 0.0300 	 0.4710 	 0.8350
[2020/08/28 17:40:20] - 16 	 10.9 	 	 0.0320 	 0.4638 	 0.8393
[2020/08/28 17:40:31] - 17 	 10.9 	 	 0.0340 	 0.4492 	 0.8435
[2020/08/28 17:40:42] - 18 	 10.9 	 	 0.0360 	 0.4329 	 0.8481
[2020/08/28 17:40:53] - 19 	 10.9 	 	 0.0380 	 0.4171 	 0.8562
[2020/08/28 17:41:04] - 20 	 10.9 	 	 0.0400 	 0.4122 	 0.8559
[2020/08/28 17:41:14] - 21 	 10.9 	 	 0.0420 	 0.3999 	 0.8596
[2020/08/28 17:41:25] - 22 	 10.9 	 	 0.0440 	 0.3855 	 0.8653
[2020/08/28 17:41:36] - 23 	 10.9 	 	 0.0460 	 0.3826 	 0.8667
[2020/08/28 17:41:47] - 24 	 10.9 	 	 0.0480 	 0.3772 	 0.8682
[2020/08/28 17:41:58] - 25 	 10.9 	 	 0.0500 	 0.3696 	 0.8704
[2020/08/28 17:42:09] - 26 	 10.9 	 	 0.0520 	 0.3696 	 0.8713
[2020/08/28 17:42:20] - 27 	 10.9 	 	 0.0540 	 0.3661 	 0.8748
[2020/08/28 17:42:31] - 28 	 10.9 	 	 0.0560 	 0.3649 	 0.8725
[2020/08/28 17:42:42] - 29 	 10.9 	 	 0.0580 	 0.3671 	 0.8718
[2020/08/28 17:42:53] - 30 	 10.9 	 	 0.0600 	 0.3594 	 0.8739
[2020/08/28 17:43:03] - 31 	 10.9 	 	 0.0620 	 0.3630 	 0.8740
[2020/08/28 17:43:14] - 32 	 10.9 	 	 0.0640 	 0.3663 	 0.8729
[2020/08/28 17:43:25] - 33 	 10.9 	 	 0.0660 	 0.3655 	 0.8719
[2020/08/28 17:43:36] - 34 	 10.9 	 	 0.0680 	 0.3618 	 0.8742
[2020/08/28 17:43:47] - 35 	 10.9 	 	 0.0700 	 0.3655 	 0.8731
[2020/08/28 17:43:58] - 36 	 10.9 	 	 0.0720 	 0.3608 	 0.8760
[2020/08/28 17:44:09] - 37 	 10.9 	 	 0.0740 	 0.3643 	 0.8742
[2020/08/28 17:44:20] - 38 	 10.9 	 	 0.0760 	 0.3695 	 0.8710
[2020/08/28 17:44:31] - 39 	 10.9 	 	 0.0780 	 0.3655 	 0.8746
[2020/08/28 17:44:42] - 40 	 10.9 	 	 0.0800 	 0.3639 	 0.8737
[2020/08/28 17:44:52] - 41 	 10.9 	 	 0.0820 	 0.3710 	 0.8723
[2020/08/28 17:45:03] - 42 	 10.9 	 	 0.0840 	 0.3662 	 0.8740
[2020/08/28 17:45:14] - 43 	 10.9 	 	 0.0860 	 0.3695 	 0.8730
[2020/08/28 17:45:25] - 44 	 10.9 	 	 0.0880 	 0.3690 	 0.8725
[2020/08/28 17:45:36] - 45 	 10.9 	 	 0.0900 	 0.3738 	 0.8705
[2020/08/28 17:45:47] - 46 	 10.9 	 	 0.0920 	 0.3762 	 0.8703
