[2020/08/29 22:08:18] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_ffx_16', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'FFX', 'block_size': 16, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_ffx_16/', 'seed': 42}
[2020/08/29 22:08:22] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/08/29 22:08:33] - 1 	 11.3 	 	 0.0020 	 2.1885 	 0.1847
[2020/08/29 22:08:34] - == Test loss: 2.0013, Test acc: 0.2787
[2020/08/29 22:08:47] - 2 	 11.1 	 	 0.0040 	 1.8495 	 0.3216
[2020/08/29 22:08:58] - 3 	 11.1 	 	 0.0060 	 1.6729 	 0.3895
[2020/08/29 22:09:09] - 4 	 11.1 	 	 0.0080 	 1.5522 	 0.4344
[2020/08/29 22:09:20] - 5 	 11.1 	 	 0.0100 	 1.4395 	 0.4752
[2020/08/29 22:09:31] - 6 	 11.1 	 	 0.0120 	 1.3307 	 0.5189
[2020/08/29 22:09:43] - 7 	 11.2 	 	 0.0140 	 1.2471 	 0.5519
[2020/08/29 22:09:54] - 8 	 11.1 	 	 0.0160 	 1.1608 	 0.5851
[2020/08/29 22:10:05] - 9 	 11.2 	 	 0.0180 	 1.0856 	 0.6132
[2020/08/29 22:10:16] - 10 	 11.2 	 	 0.0200 	 1.0195 	 0.6394
[2020/08/29 22:10:27] - 11 	 11.1 	 	 0.0220 	 0.9593 	 0.6606
[2020/08/29 22:10:38] - 12 	 11.2 	 	 0.0240 	 0.9016 	 0.6824
[2020/08/29 22:10:50] - 13 	 11.2 	 	 0.0260 	 0.8544 	 0.6986
[2020/08/29 22:11:01] - 14 	 11.2 	 	 0.0280 	 0.8040 	 0.7178
[2020/08/29 22:11:12] - 15 	 11.2 	 	 0.0300 	 0.7595 	 0.7331
[2020/08/29 22:11:23] - 16 	 11.1 	 	 0.0320 	 0.7202 	 0.7463
[2020/08/29 22:11:34] - 17 	 11.2 	 	 0.0340 	 0.6934 	 0.7554
[2020/08/29 22:11:45] - 18 	 11.2 	 	 0.0360 	 0.6625 	 0.7678
[2020/08/29 22:11:57] - 19 	 11.1 	 	 0.0380 	 0.6414 	 0.7777
[2020/08/29 22:12:08] - 20 	 11.2 	 	 0.0400 	 0.6138 	 0.7817
[2020/08/29 22:12:19] - 21 	 11.2 	 	 0.0420 	 0.5989 	 0.7884
[2020/08/29 22:12:30] - 22 	 11.1 	 	 0.0440 	 0.5795 	 0.7972
[2020/08/29 22:12:41] - 23 	 11.2 	 	 0.0460 	 0.5661 	 0.8020
[2020/08/29 22:12:52] - 24 	 11.2 	 	 0.0480 	 0.5521 	 0.8049
[2020/08/29 22:13:03] - 25 	 11.1 	 	 0.0500 	 0.5385 	 0.8128
