[2020/08/30 10:59:36] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_ffx_32', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'FFX', 'block_size': 32, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_ffx_32/', 'seed': 42}
[2020/08/30 10:59:39] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/08/30 10:59:51] - 1 	 11.6 	 	 0.0020 	 2.2065 	 0.1754
[2020/08/30 10:59:53] - == Test loss: 2.2996, Test acc: 0.2046
[2020/08/30 11:00:15] - 2 	 11.0 	 	 0.0040 	 1.8732 	 0.3137
[2020/08/30 11:00:26] - 3 	 11.1 	 	 0.0060 	 1.7068 	 0.3770
[2020/08/30 11:00:37] - 4 	 11.2 	 	 0.0080 	 1.5942 	 0.4199
[2020/08/30 11:00:48] - 5 	 11.1 	 	 0.0100 	 1.4867 	 0.4559
[2020/08/30 11:00:59] - 6 	 11.2 	 	 0.0120 	 1.3873 	 0.4994
[2020/08/30 11:01:10] - 7 	 11.1 	 	 0.0140 	 1.2915 	 0.5353
[2020/08/30 11:01:22] - 8 	 11.4 	 	 0.0160 	 1.2127 	 0.5671
[2020/08/30 11:01:33] - 9 	 11.5 	 	 0.0180 	 1.1323 	 0.5944
[2020/08/30 11:01:44] - 10 	 11.1 	 	 0.0200 	 1.0640 	 0.6237
[2020/08/30 11:01:56] - 11 	 11.8 	 	 0.0220 	 0.9982 	 0.6453
[2020/08/30 11:02:07] - 12 	 11.2 	 	 0.0240 	 0.9288 	 0.6705
[2020/08/30 11:02:18] - 13 	 11.1 	 	 0.0260 	 0.8740 	 0.6908
[2020/08/30 11:02:30] - 14 	 11.1 	 	 0.0280 	 0.8258 	 0.7089
[2020/08/30 11:02:41] - 15 	 11.1 	 	 0.0300 	 0.7826 	 0.7252
